Feature,Importance
DRIVING_EXPERIENCE,0.2564222036234033
RACE_OHE,0.18690147569843893
PAST_ACCIDENTS,0.11604945954108406
VEHICLE_TYPE_OHE,0.11358822811579415
POSTAL_CODE_OHE,0.05801830455937027
SPEEDING_VIOLATIONS,0.03876692318325304
CREDIT_SCORE,0.022753654035248108
AGE_OHE,0.021312294855357423
VEHICLE_YEAR_OHE,0.016855709620970865
VEHICLE_OWNERSHIP_OHE,0.015116536031836178
GENDER_OHE,0.010443913922951235
ANNUAL_MILEAGE,0.0053714062515881015
EDUCATION,0.0017108482904585748
MARRIED_OHE,0.00164658663996657
INCOME_OHE,8.5255334412601E-4
DUIS,7.670039688785325E-4
CHILDREN_OHE,4.0851292920750584E-4
